"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"G","Myobatrachidae","Taudactylus","N885",78.8610521530001,"N948",47.087850012,1,6,""
"G","Telmatobiidae","Telmatobius","N1593",55.95269995,"N1595",46.867252914,1,60,""
"G","Calyptocephalellidae","Telmatobufo","N961",40.7523210000001,"N962",18.46111,1,3,""
"G","Hylidae","Tepuihyla","N2068",28.8488519649999,"N2091",17.259892374,1,9,""
"G","Centrolenidae","Teratohyla","N2570",33.365845753,"N2579",24.52164721,1,5,""
"G","Rhacophoridae","Theloderma","N3615",67.27626835,"N3616",61.4351071,1,22,""
"G","Plethodontidae","Thorius","N636",50.3911211120001,"N650",23.401917317,1,24,""
"G","Cycloramphidae","Thoropa","N1632",66.86851676,"N1656",40.4523983,1,6,""
"G","Hylidae","Tlalocohyla","N2126",42.22132363,"N2138",32.97180384,1,4,""
"G","Pyxicephalidae","Tomopterna","N3186",68.24495713,"N3239",38.953209508,1,15,""
"G","Hylidae","Trachycephalus","N2056",31.4979645696999,"N2058",23.013186153,1,14,""
"G","Salamandridae","Triturus","N273",27.6705777518001,"N275",20.040936188,1,8,""
"G","Bufonidae","Truebella","N2210",66.805495771,"N2398",5.655829022,1,2,""
"G","Salamandridae","Tylototriton","N319",20.873887708,"N321",16.0450687545,1,18,""
"G","Typhlonectidae","Typhlonectes","N75",58.014647381,"N78",26.42441509,1,2,""
"G","Microhylidae","Uperodon","N3033",32.844302769,"N3040",9.613622433,1,2,""
"G","Myobatrachidae","Uperoleia","N900",54.6681516440001,"N901",37.7088916985,1,27,""
"G","Ichthyophiidae","Uraeotyphlus","N46",65.9974979900001,"N47",54.28093529,1,7,""
"G","Bufonidae","Vandijkophrynus","N2290",34.278829611,"N2294",6.180286495,1,5,""
"G","Centrolenidae","Vitreorana","N2570",33.365845753,"N2583",23.40036856,1,8,""
"G","Bufonidae","Werneria","N2274",24.9949233618,"N2275",17.5998635,1,6,""
"G","Bufonidae","Wolterstorffina","N2274",24.9949233618,"N2277",12.264968921,1,3,""
"G","Bufonidae","Xanthophryne","N2218",23.7214422770001,"N2221",6.738515428,1,2,""
"G","Hylidae","Xenohyla","N1958",48.83598553537,"N1996",11.2026962,1,2,""
"G","Megophryidae","Xenophrys","N741",103.199819063,"N809",50.07918423,1,44,""
"G","Pipidae","Xenopus","N698",141.352970923,"N703",67.286292904,1,21,""
"G","Microhylidae","Xenorhina","N2956",65.266386052,"N2962",44.36924274,1,31,""
"G","Cycloramphidae","Zachaenus","N1644",19.737584435,"N1645",10.72233078,1,3,""
